0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
171651,4117,283,30/04/2018,C,FALSE,R32,3,5515,GER,,,62,855,,,28.013689,193,9038,GER,,Q,401,101,,,23.88501,,7-6(1) 6-4,,2,0,12,10,1,0,TRUE,171651,0,87,5,5,78,44,31,19,11,5,7,6,3,81,59,40,7,11,6,9
173239,4155,268,29/10/2018,H,TRUE,R64,3,4269,ESP,,,27,1545,,,34.95414,188,4868,FRA,,,40,1110,,,31.709787,188,6-4 6-4,,2,0,12,8,0,0,TRUE,173239,0,80,9,4,62,35,26,17,10,4,5,10,7,62,32,23,13,10,4,7
165216,3965,1804,4/03/2016,C,FALSE,RR,3,5828,CHN,,,172,324,,,24.459959,,8768,PAK,,,,,,,21.741274,,6-1 6-0,,2,0,12,1,0,0,TRUE,165216,0,48,4,1,47,19,15,15,7,3,4,1,2,32,16,8,0,6,3,9
168612,4042,277,17/04/2017,C,FALSE,R32,3,5515,GER,,Q,58,813,,,26.97878,193,5763,BUL,8,,11,2880,,,25.92197,188,4-6 6-3 6-2,,2,1,16,11,0,0,TRUE,168612,0,117,10,1,87,54,40,18,14,1,2,4,6,88,53,34,19,13,7,10
169246,4058,295,26/06/2017,G,FALSE,QF,3,4752,FRA,7,,27,1515,,,31.022587,185,4544,USA,3,,21,1930,,,32.167007,206,6-3 6-2,,2,0,12,5,0,0,TRUE,169246,0,54,4,0,47,31,24,10,8,0,0,5,0,51,36,21,6,9,3,7
172030,4125,287,18/06/2018,G,FALSE,R16,3,4311,ITA,,,50,1000,,,34.321697,190,4252,GER,,WC,82,691,,,34.70226,190,6-2 6-4,,2,0,12,6,0,0,TRUE,172030,0,59,10,1,52,41,34,4,9,3,3,2,1,54,30,19,12,9,1,4
169201,4057,275,26/06/2017,G,FALSE,R32,3,4326,BEL,,,59,821,,,33.28679,178,4794,UZB,,,71,704,,,30.800821,188,6-4 6-7(5) 6-4,,2,1,18,14,0,1,TRUE,169201,0,140,12,3,122,83,64,16,16,10,11,17,0,99,67,50,16,16,5,8
175579,4213,286,23/09/2019,H,FALSE,R16,3,5131,ESP,2,,10,2530,,,31.441479,183,4664,ESP,,,53,1012,,,33.66461,180,7-5 7-5,,2,0,14,10,0,0,TRUE,175579,0,112,7,1,66,43,32,8,12,1,4,1,2,75,43,29,12,12,5,10
172302,4131,293,16/07/2018,G,FALSE,R16,3,5166,FRA,1,,26,1580,,,30.045174,183,11415,AUS,,,101,575,,,24.238194,183,6-2 7-6(4),,2,0,12,8,1,0,TRUE,172302,0,101,4,3,77,41,27,19,10,4,7,4,3,70,45,21,14,10,3,8
172679,4141,300,20/08/2018,H,FALSE,F,3,6407,RUS,,,57,952,,,22.52156,198,5438,USA,8,,34,1235,,,28.654346,188,6-4 6-4,,2,0,12,8,0,0,TRUE,172679,0,84,8,7,62,33,29,14,10,1,1,8,2,63,37,28,12,10,6,8
