date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 10/03/2018,"Damir Dzumhur 
						DZU
				","Nicolas Kicker 
						KIC
				","
				1.32
			","
				3.42
			","
				5.78
			","
				7.06
			","
				3.91
			","
				1.81
			","
						2.75
					","
						1.52
					"
 10/03/2018,"Daniil Medvedev 
						MED
				","Nick Kyrgios 
						KYR
				","
				3.43
			","
				1.31
			","
				1.85
			","
				3.79
			","
				6.69
			","
				5.79
			","
						2.75
					","
						1.53
					"
 10/03/2018,"Dusan Lajovic 
						LAJ
				","Hyeon Chung 
						CHU
				","
				4.19
			","
				1.23
			","
				1.68
			","
				3.93
			","
				7.98
			","
				6.80
			","
						3.00
					","
						1.44
					"
 10/03/2018,"Grigor Dimitrov 
						DIM
				","Fernando Verdasco 
						VER
				","
				1.47
			","
				2.68
			","
				4.65
			","
				5.74
			","
				3.77
			","
				2.16
			","
						2.50
					","
						1.60
					"
 10/03/2018,"Jared Donaldson 
						DON
				","Roberto Bautista Agut 
						BAU
				","
				2.83
			","
				1.43
			","
				2.05
			","
				3.76
			","
				5.88
			","
				4.62
			","
						2.50
					","
						1.57
					"
 10/03/2018,"Jeremy Chardy 
						CHA
				","Fabio Fognini 
						FOG
				","
				2.72
			","
				1.46
			","
				2.15
			","
				3.78
			","
				5.75
			","
				4.52
			","
						2.50
					","
						1.57
					"
 10/03/2018,"Mitchell Krueger 
						KRU
				","Filip Krajinović 
						KRA
				","
				4.10
			","
				1.24
			","
				1.69
			","
				3.91
			","
				7.73
			","
				6.85
			","
						3.00
					","
						1.46
					"
 10/03/2018,"Pablo Carreno Busta 
						CAR
				","Horacio Zeballos 
						ZEB
				","
				1.39
			","
				3.01
			","
				5.08
			","
				6.15
			","
				3.80
			","
				2.01
			","
						2.62
					","
						1.56
					"
 10/03/2018,"Pablo Cuevas 
						CUE
				","Denis Shapovalov 
						SHA
				","
				2.76
			","
				1.45
			","
				2.17
			","
				3.74
			","
				5.58
			","
				4.58
			","
						2.50
					","
						1.59
					"
 10/03/2018,"Roger Federer 
						FED
				","Federico Delbonis 
						DEL
				","
				1.02
			","
				16.02
			","
				23.33
			","
				25.20
			","
				6.22
			","
				1.15
			","
						6.50
					","
						1.16
					"
 10/03/2018,"Stefanos Tsitsipas 
						TSI
				","Dominic Thiem 
						THI
				","
				3.59
			","
				1.29
			","
				1.82
			","
				3.84
			","
				7.06
			","
				5.99
			","
						2.75
					","
						1.50
					"
 10/03/2018,"Taylor Fritz 
						FRI
				","Andrey Rublev 
						RUB
				","
				2.41
			","
				1.57
			","
				2.39
			","
				3.85
			","
				5.12
			","
				4.09
			","
						2.50
					","
						1.61
					"
 10/03/2018,"Tomas Berdych 
						BER
				","Maximilian Marterer 
						MAR
				","
				1.34
			","
				3.28
			","
				5.58
			","
				6.41
			","
				3.76
			","
				1.93
			","
						2.62
					","
						1.54
					"
 10/03/2018,"Evgeny Donskoy 
						DON
				","Kevin Anderson 
						AND
				","
				5.10
			","
				1.17
			","
				1.53
			","
				4.05
			","
				9.28
			","
				7.85
			","
						3.40
					","
						1.42
					"
 10/03/2018,"Daniil Medvedev 
						MED
				","Matteo Berrettini 
						BER
				","
				1.44
			","
				2.79
			","
				4.56
			","
				5.80
			","
				3.77
			","
				2.12
			","
						2.50
					","
						1.57
					"
 11/03/2018,"Dudi Sela 
						SEL
				","Kyle Edmund 
						EDM
				","
				3.51
			","
				1.30
			","
				1.81
			","
				3.88
			","
				6.95
			","
				5.90
			","
						2.75
					","
						1.50
					"
 11/03/2018,"John Isner 
						ISN
				","Gael Monfils 
						MON
				","
				2.22
			","
				1.66
			","
				2.55
			","
				3.78
			","
				4.65
			","
				3.77
			","
						2.37
					","
						1.69
					"
 11/03/2018,"Philipp Kohlschreiber 
						KOH
				","Tim Smyczek 
						SMY
				","
				1.36
			","
				3.16
			","
				5.14
			","
				6.21
			","
				3.82
			","
				1.90
			","
						2.62
					","
						1.53
					"
 11/03/2018,"Pierre-Hugues Herbert 
						HER
				","Gilles Muller 
						MUL
				","
				1.97
			","
				1.84
			","
				2.98
			","
				4.03
			","
				4.31
			","
				3.27
			","
						2.37
					","
						1.67
					"
 11/03/2018,"Tennys Sandgren 
						SAN
				","David Ferrer 
						FER
				","
				2.47
			","
				1.54
			","
				2.34
			","
				3.85
			","
				5.27
			","
				4.15
			","
						2.50
					","
						1.60
					"
 11/03/2018,"Taro Daniel 
						DAN
				","Novak Djokovic 
						DJO
				","
				6.91
			","
				1.10
			","
				1.37
			","
				4.57
			","
				13.50
			","
				10.92
			","
						3.75
					","
						1.31
					"
 11/03/2018,"Ernesto Escobedo 
						ESC
				","Feliciano Lopez 
						LOP
				","
				1.96
			","
				1.85
			","
				3.02
			","
				4.14
			","
				4.19
			","
				3.12
			","
						2.25
					","
						1.68
					"
 11/03/2018,"Yuki Bhambri 
						BHA
				","Lucas Pouille 
						POU
				","
				3.35
			","
				1.33
			","
				1.87
			","
				3.79
			","
				6.63
			","
				5.46
			","
						2.63
					","
						1.52
					"
 11/03/2018,"Kei Nishikori 
						NIS
				","Leonardo Mayer 
						MAY
				","
				1.28
			","
				3.73
			","
				6.47
			","
				7.46
			","
				3.88
			","
				1.75
			","
						3.00
					","
						1.50
					"
