,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
40,171176,4108,244,2018-03-05,H,False,R64,3,3970,ESP,29.0,,33,1325,,,35.92334,175.0,5801,USA,,WC,59.0,893.0,,,26.620123,188.0,6-2 7-6(3),,2,0,12,8,1,0,True,171176,0,107.0,2,1,77,47,32,19,10,6,7,3,3,76,53,30,13,10,7,10
41,162122,3891,14,2015-02-16,H,False,R16,3,4789,FRA,7.0,,21,1635,,,28.459959,193.0,5709,RUS,,,83.0,603.0,,,23.983572,185.0,6-3 6-2,,2,0,12,5,0,0,True,162122,0,64.0,13,3,59,36,27,14,9,3,3,6,1,61,40,27,7,8,4,7
42,166499,3966,18105,2016-07-15,H,False,RR,3,5567,THA,,,933,15,,,26.045174,183.0,47099,VIE,,,,,,,17.511293,,6-0 6-3,,2,0,12,3,0,0,True,166499,0,56.0,6,0,39,18,18,15,8,0,0,3,5,47,26,16,5,7,2,6
43,161705,3880,6,2015-01-05,H,False,R32,3,4269,ESP,,,33,1135,,,31.140314,188.0,4558,RUS,,,66.0,730.0,,,29.620808,188.0,4-6 6-3 7-6(4),,2,1,16,15,1,0,True,161705,0,144.0,8,5,123,99,70,11,16,8,9,12,4,101,69,58,13,15,9,10
44,175880,4222,272,2019-10-28,H,True,R32,3,4541,FRA,,WC,35,1230,,,34.529774,188.0,26413,ITA,10.0,,9.0,2705.0,,,23.542778,196.0,6-4 6-3,,2,0,12,7,0,0,True,175880,0,85.0,7,1,58,34,27,14,10,3,4,4,1,57,40,26,6,9,3,6
45,164243,3936,11,2015-09-28,H,False,R32,3,11176,KOR,,,58,801,,,19.359343,,5828,CHN,,WC,224.0,216.0,,,24.03833,,6-1 6-0,,2,0,12,1,0,0,True,164243,0,,5,6,46,28,20,9,7,5,6,1,2,34,10,3,7,6,2,8
46,169107,4053,299,2017-06-12,G,False,SF,3,3333,CRO,3.0,,24,1730,,,38.286106,208.0,5220,CRO,1.0,,7.0,4115.0,,,28.703629,198.0,7-6(4) 5-7 7-6(2),,2,1,17,19,2,0,True,169107,0,163.0,29,6,133,98,74,18,18,7,8,16,8,106,73,63,16,18,2,2
47,172315,4132,277,2018-07-16,C,False,R32,3,9719,GER,9.0,,49,997,,,23.085558,,25923,CRO,,WC,193.0,298.0,,,21.587954,,3-6 7-5 6-3,,2,1,16,14,0,0,True,172315,0,131.0,9,1,82,49,38,16,15,1,3,6,4,107,56,44,20,15,8,11
48,163940,3931,32,2015-08-23,H,False,R32,3,4728,RSA,2.0,WC,15,2000,,,29.267626,203.0,5055,KAZ,,,55.0,842.0,,,27.660507,183.0,4-6 6-2 6-3,,2,1,16,11,0,0,True,163940,0,,19,6,83,46,38,21,14,7,8,5,2,78,53,36,12,13,5,8
49,163851,3929,53,2015-08-10,H,False,SF,3,4920,SRB,1.0,,1,13755,,,28.219028,188.0,4868,FRA,,,49.0,925.0,,,28.490076,188.0,6-4 6-4,,2,0,12,8,0,0,True,163851,0,,4,2,51,37,31,10,10,0,0,2,3,67,44,33,10,10,3,5
50,173852,4173,274,2019-02-25,H,False,R32,3,6029,ARG,4.0,,25,1485,,,26.527037,170.0,5644,ROU,,,74.0,738.0,,,28.358658,193.0,6-3 4-6 6-1,,2,1,16,10,0,0,True,173852,0,122.0,1,4,79,53,36,10,13,5,9,7,3,93,43,25,22,13,9,16
51,161722,3880,23,2015-01-05,H,False,R16,3,4311,ITA,,,45,870,,,30.872005,190.0,5147,BRA,,,117.0,468.0,,,26.60917,193.0,7-5 6-2,,2,0,13,7,0,0,True,161722,0,72.0,7,0,54,37,30,10,10,4,5,3,0,58,34,24,10,10,4,8
52,169570,4066,299,2017-07-31,C,False,SF,3,5303,POR,,,62,785,,,28.336756,185.0,23949,AUT,,WC,157.0,354.0,,,21.218344,,7-6(4) 7-6(4),,2,0,12,12,2,0,True,169570,0,118.0,3,3,82,38,32,24,12,6,7,10,1,92,51,38,17,12,3,4
53,177379,4258,291,2020-11-09,H,True,R16,3,45105,AUS,3.0,,25,1815,,,21.727583,183.0,6220,RUS,,Q,114.0,586.0,,,27.181383,185.0,6-4 7-6(5),,2,0,12,10,1,0,True,177379,0,110.0,0,4,89,52,36,17,11,6,8,3,2,69,36,21,18,11,3,6
54,174342,4184,275,2019-04-29,C,False,R32,3,45306,GER,,WC,157,344,,,18.505133,,5644,ROU,,,79.0,698.0,,,28.531143,193.0,7-6(5) 4-6 6-4,,2,1,16,16,1,0,True,174342,0,122.0,7,1,93,54,42,24,16,0,2,17,4,109,65,51,24,16,8,10
55,175139,4204,287,2019-07-29,H,False,R16,3,26754,KOR,,Q,112,521,,,21.653662,180.0,6214,ARG,,,59.0,935.0,,,25.952087,,6-4 3-6 6-3,,2,1,15,13,0,0,True,175139,0,131.0,2,4,100,55,42,20,14,6,8,7,5,88,51,36,19,14,12,15
56,163282,3918,35,2015-06-21,G,False,R16,3,4914,ARG,4.0,,21,1580,,,28.104038,188.0,6196,CZE,16.0,,46.0,980.0,,,21.94935,198.0,7-6(2) 7-6(5),,2,0,12,12,2,0,True,163282,0,,12,1,74,58,48,7,12,1,2,6,1,78,54,36,17,12,4,5
57,168892,4049,292,2017-05-15,C,False,R16,3,5670,CAN,5.0,,6,4180,,,26.38193,196.0,4606,CZE,12.0,,13.0,2690.0,,,31.657768,196.0,6-3 6-2,,2,0,12,5,0,0,True,168892,0,61.0,6,3,43,28,27,9,9,0,0,1,2,43,21,14,11,8,0,3
58,162841,3909,1,2015-05-03,C,False,R64,3,6387,AUS,,,35,1130,,,20.019165,193.0,4592,ESP,,Q,66.0,726.0,,,29.738535,185.0,6-2 6-3,,2,0,12,5,0,0,True,162841,0,61.0,10,1,51,38,33,5,9,2,2,2,1,55,38,20,10,8,1,4
59,168947,4051,293,2017-05-22,C,False,R16,3,5670,CAN,1.0,,6,4360,,,26.401094,196.0,4794,UZB,,,81.0,649.0,,,30.704996,188.0,6-4 6-3,,2,0,12,7,0,0,True,168947,0,81.0,8,1,55,30,25,16,10,0,1,3,2,55,27,16,13,9,2,5
60,168748,4046,284,2017-05-01,C,False,R32,3,5370,SLO,,,58,863,,,27.786448,181.0,5902,HUN,,WC,149.0,387.0,,,25.226557,188.0,7-6(3) 4-6 6-4,,2,1,16,16,1,0,True,168748,0,168.0,5,4,103,61,46,23,16,2,4,3,8,129,68,47,34,16,10,12
61,165105,3961,296,2016-02-15,C,False,QF,3,4654,URU,,,45,895,,,30.121834,180.0,5630,ARG,,,46.0,895.0,,,25.36345,190.0,6-4 7-6(4),,2,0,12,10,1,0,True,165105,0,104.0,3,1,73,52,37,11,11,4,6,3,1,75,44,32,15,11,5,8
62,162986,3912,9,2015-05-17,C,False,R32,3,5231,UKR,,,68,705,,,26.524298,180.0,4659,UKR,,,52.0,894.0,,,29.360712,193.0,3-6 7-5 6-2,,2,1,16,13,0,0,True,162986,0,96.0,2,1,70,48,40,14,14,1,2,3,0,93,51,35,22,15,4,7
63,173101,4150,294,2018-10-15,H,True,QF,3,6029,ARG,2.0,,17,1940,,,26.162903,170.0,4467,FRA,5.0,,32.0,1265.0,,,33.798767,183.0,6-4 6-3,,2,0,12,7,0,0,True,173101,0,96.0,1,2,61,43,29,4,9,3,6,4,2,61,35,21,7,10,4,10
64,175918,4224,501,2019-11-20,H,True,RR,3,5922,SRB,,,40,1148,,,27.723476,185.0,5209,JPN,,,104.0,561.0,,,31.164955,173.0,6-2 6-4,,2,0,12,6,0,0,True,175918,0,68.0,5,0,47,31,26,10,9,0,0,3,1,62,37,21,11,9,6,9
65,175873,4222,279,2019-10-28,H,True,R32,3,5763,BUL,,,27,1477,,,28.451746,188.0,5663,BEL,12.0,,14.0,2325.0,,,28.889801,163.0,7-5 6-3,,2,0,13,8,0,0,True,175873,0,85.0,8,2,59,40,32,11,11,1,2,2,1,59,33,23,12,10,7,10
66,171607,4115,294,2018-04-30,C,False,QF,3,5793,ESP,2.0,,11,2440,,,26.800821,188.0,11769,CHI,,,65.0,822.0,,,22.551678,,6-2 2-6 6-1,,2,1,14,9,0,0,True,171607,0,93.0,1,0,81,58,37,13,12,6,9,1,0,72,57,35,4,11,4,9
67,166368,3989,284,2016-07-11,C,False,R32,3,23754,FRA,,Q,378,119,,,21.451061,,6123,FRA,,Q,190.0,284.0,,,23.35113,,6-4 4-6 6-3,,2,1,16,13,0,0,True,166368,0,116.0,6,3,84,46,30,18,14,3,7,4,0,95,62,34,18,15,2,8
