0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
165725,3976,275,25/04/2016,C,FALSE,R32,3,5571,SRB,,,69,748,,,25.820671,180,5938,ARG,,Q,162,337,,,24.112251,,7-5 6-4,,2,0,13,9,0,0,TRUE,165725,0,104,1,2,77,54,42,8,11,8,9,0,5,77,47,32,13,11,6,9
162889,3909,49,3/05/2015,C,FALSE,QF,3,4606,CZE,6,,7,4960,,,29.626284,196,4544,USA,16,,18,1765,,,30.020535,206,3-6 7-6(7) 7-6(1),,2,1,15,18,2,0,TRUE,162889,0,130,11,1,91,50,43,29,16,0,1,29,0,104,80,63,13,17,4,4
170848,4098,271,5/02/2018,H,TRUE,R32,3,4570,CYP,,,123,474,,,32.63792,183,6085,ITA,,LL,185,286,,,25.141684,185,7-6(4) 6-3,,2,0,12,9,1,0,TRUE,170848,0,103,11,1,79,40,32,20,10,5,6,5,5,74,32,23,23,11,5,8
161782,3882,25,12/01/2015,H,FALSE,SF,3,5166,FRA,,,44,913,,,26.537987,183,6284,FRA,,LL,136,391,,,20.884325,185,6-4 3-6 7-5,,2,1,16,15,0,0,TRUE,161782,0,113,5,3,82,50,39,18,15,1,3,11,4,90,55,37,21,16,1,4
161703,3880,4,5/01/2015,H,FALSE,R32,3,3333,CRO,7,,27,1320,,,35.852158,208,4585,CZE,,,30,1210,,,29.451061,196,7-6(4) 6-3,,2,0,12,9,1,0,TRUE,161703,0,92,27,0,77,47,38,19,11,8,8,7,3,75,48,36,13,10,5,6
169801,4071,299,21/08/2017,H,FALSE,SF,3,5131,ESP,1,,15,2425,,,29.352499,183,5515,GER,,,56,883,,,27.323751,193,6-2 6-4,,2,0,12,6,0,0,TRUE,169801,0,73,2,2,45,24,19,14,9,0,1,6,4,64,28,22,10,9,4,8
167934,4026,288,6/02/2017,H,TRUE,R16,3,644,GER,4,,21,1735,,,19.800137,198,5370,SLO,,,109,547,,,27.556469,181,7-5 3-6 6-4,,2,1,16,15,0,0,TRUE,167934,0,122,10,10,115,65,49,17,16,11,15,4,3,85,49,32,18,15,7,11
168419,4039,262,20/03/2017,H,FALSE,R64,3,5663,BEL,8,,12,2975,,,26.283367,163,5971,BAR,,Q,121,488,,,24.898016,,7-5 6-1,,2,0,13,6,0,0,TRUE,168419,0,86,1,4,61,33,24,16,10,2,4,1,4,64,31,16,15,9,8,13
170226,4080,293,16/10/2017,H,TRUE,R16,3,5663,BEL,1,,10,2885,,,26.858316,163,26010,USA,,WC,79,650,,,19.737165,188,7-6(1) 6-2,,2,0,12,8,1,0,TRUE,170226,0,79,8,3,61,31,25,20,10,5,6,3,5,61,34,23,10,10,0,3
168905,4050,276,22/05/2017,C,FALSE,R32,3,4546,ARG,,,64,793,,,32.068447,188,5571,SRB,,,79,669,,,26.893908,180,6-4 0-6 7-5,,2,1,13,15,0,0,TRUE,168905,0,119,3,0,88,61,39,16,14,4,7,6,2,87,60,46,13,14,4,6
172111,4128,282,25/06/2018,G,FALSE,R32,3,11787,GBR,,WC,79,718,,,22.839151,188,4973,GER,,Q,316,161,,,30.940453,196,7-5 6-7(4) 6-2,,2,1,19,13,0,1,TRUE,172111,0,129,5,4,105,64,50,25,16,8,8,13,4,99,71,50,18,16,6,9
171542,4113,283,23/04/2018,C,FALSE,R32,3,3852,ESP,12,,30,1420,,,36.58864,188,5571,SRB,,,91,664,,,27.813826,180,6-4 2-6 6-4,,2,1,14,14,0,0,TRUE,171542,0,138,13,1,104,48,38,26,14,11,13,3,0,97,72,44,16,14,5,7
