1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
174307,4183,284,29/04/2019,C,FALSE,R32,3,5805,ARG,,,97,613,,,27.731691,,6184,BOL,,,98,612,,,25.867214,,6-3 6-3,,2,0,12,6,0,0,TRUE,174307,0,69,1,2,50,35,25,10,9,1,2,2,2,55,41,25,4,9,4,8,1.67,2.16,3.43,5.03,4.24,2.56,2.55,1.47
171742,4119,264,14/05/2018,C,FALSE,R64,3,32067,ITA,,WC,140,402,,,23.008898,191,5166,FRA,,,27,1560,,,29.87269,183,2-6 7-6(4) 6-3,,2,1,14,15,1,0,TRUE,171742,0,138,6,3,88,51,40,17,15,1,4,2,2,89,57,45,15,14,3,5,1.63,2.23,3.73,5.01,4.03,2.5,2.4,1.56
171686,4118,263,7/05/2018,C,FALSE,R64,3,5630,ARG,,Q,78,730,,,27.586584,190,4994,GER,,,54,977,,,30.707735,190,6-1 2-6 7-6(6),,2,1,14,13,1,0,TRUE,171686,0,122,6,6,84,48,35,21,14,4,7,9,0,91,63,38,18,13,3,6,3.2,1.32,1.84,3.7,6.25,5.38,1.83,1.83
171729,4119,247,14/05/2018,C,FALSE,R64,3,5978,USA,,,57,920,,,26.017796,183,5209,JPN,,,46,1070,,,29.650925,173,7-6(5) 6-3,,2,0,12,9,1,0,TRUE,171729,0,118,11,4,74,46,38,11,10,5,5,3,3,99,58,37,22,11,8,10,1.47,2.61,4.36,5.38,3.79,2.15,2.5,1.5
171738,4119,258,14/05/2018,C,FALSE,R64,3,6044,USA,13,,14,2155,,,25.634497,185,3970,ESP,,,38,1225,,,36.11499,175,6-3 6-4,,2,0,12,7,0,0,TRUE,171738,0,77,4,1,64,39,26,18,10,4,5,4,1,51,27,18,12,9,1,4,1.8,1.99,3.21,4.58,4.21,2.83,2.38,1.58
169141,4055,275,19/06/2017,G,FALSE,R32,3,4259,GER,,,56,840,,,33.675564,178,5303,POR,,,57,830,,,28.221766,185,3-6 6-4 6-4,,2,1,15,14,0,0,TRUE,169141,0,120,12,1,85,45,35,21,15,6,9,6,0,98,54,38,22,14,11,14,4.5,1.19,1.54,4.04,8.7,7.8,3.25,1.42
169142,4055,276,19/06/2017,G,FALSE,R32,3,4459,GER,,WC,95,560,,,32.528404,196,5565,CAN,,Q,76,671,,,26.989733,193,6-1 6-7(3) 7-6(4),,2,1,18,13,1,1,TRUE,169142,0,134,8,8,113,68,51,23,15,7,8,9,2,104,65,43,23,16,8,12,2.58,1.49,2.27,3.72,5.08,4.08,2.37,1.53
169139,4055,273,19/06/2017,G,FALSE,R32,3,4752,FRA,,,30,1335,,,31.003422,185,4789,FRA,5,,16,2545,,,30.798084,193,3-6 6-4 6-3,,2,1,15,13,0,0,TRUE,169139,0,121,1,1,88,67,48,11,14,11,13,22,7,106,67,51,13,14,12,15,1.7,2.12,3.52,4.53,3.85,2.68,2.37,1.63
169136,4055,270,19/06/2017,G,FALSE,R32,3,6219,AUT,2,,8,3895,,,23.791924,185,9719,GER,,Q,122,449,,,22.01232,,7-5 6-3,,2,0,13,8,0,0,TRUE,169136,0,84,7,8,80,41,32,22,11,7,7,4,1,57,37,26,10,10,2,4,5.04,1.16,1.48,4.1,9,8.13,3.4,1.3
169147,4055,281,19/06/2017,G,FALSE,R32,3,5442,JPN,3,,9,3785,,,27.471594,178,4269,ESP,,,34,1175,,,33.59343,188,6-7(7) 6-3 6-4,,2,1,18,13,0,1,TRUE,169147,0,144,3,4,104,67,56,18,16,9,10,14,2,106,75,55,15,15,8,11,1.41,2.83,4.97,5.98,3.75,2.04,2.62,1.56
