,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
37,177442,4260,3104,2020-03-06,H,False,RR,3,44481,SWE,,,67,759,,,21.47844,183.0,26017,CHI,,,173.0,290.0,,,22.748802,,3-6 7-5 6-3,,2,1,16,14,0,0,True,177442,0,125.0,9,3,86,60,45,12,15,4,7,5,3,96,62,42,17,15,6,10
38,172077,4127,273,2018-06-25,G,False,R32,3,5209,JPN,7.0,,45,1050,,,29.765913,173.0,5539,ARG,,,72.0,770.0,,,28.106775,185.0,6-4 3-6 6-4,,2,1,15,14,0,0,True,172077,0,122.0,7,2,98,58,48,16,14,9,10,13,1,85,58,45,14,15,1,3
39,173924,4176,291,2019-03-04,H,False,R16,3,5670,CAN,13.0,,14,2275,,,28.183435,196.0,5515,GER,,,55.0,910.0,,,28.856947,193.0,6-4 6-3,,2,0,12,7,0,0,True,173924,0,74.0,12,4,61,33,28,16,10,3,3,7,2,58,38,29,8,9,3,5
40,166829,4000,257,2016-08-15,H,False,R64,3,4789,FRA,9.0,,11,2755,,,29.954826,193.0,5793,ESP,,,48.0,940.0,,,25.09514,188.0,6-3 6-4,,2,0,12,7,0,0,True,166829,0,64.0,8,1,45,38,32,4,9,0,0,2,0,65,49,30,8,10,2,5
41,162071,3889,21,2015-02-09,C,False,QF,3,4562,ITA,,Q,149,357,,,29.683779,,5571,SRB,,,77.0,666.0,,,24.61328,180.0,7-6(5) 7-6(4),,2,0,12,12,2,0,True,162071,0,114.0,10,2,83,54,40,19,12,1,2,3,2,88,64,50,11,12,5,6
42,172408,4135,287,2018-07-23,C,False,R16,3,4914,ARG,,,36,1197,,,31.189596,188.0,4789,FRA,,,37.0,1160.0,,,31.890486,193.0,6-1 7-5,,2,0,13,6,0,0,True,172408,0,80.0,3,2,62,46,32,7,10,2,4,3,4,49,28,14,7,9,3,8
43,165291,3966,9305,2016-03-04,H,False,RR,3,5341,FIN,,,859,20,,,26.73785,,44521,ZIM,,,2147.0,1.0,,,19.364819,,6-1 6-0,,2,0,12,1,0,0,True,165291,0,48.0,8,1,42,28,24,7,7,1,1,0,2,40,28,13,2,6,2,7
44,166680,3996,284,2016-07-25,H,False,R32,3,3285,CZE,,Q,129,451,,,37.659138,185.0,5159,CAN,,WC,247.0,215.0,,,28.109514,180.0,7-6(5) 6-4,,2,0,12,10,1,0,True,166680,0,92.0,5,1,59,37,27,11,11,1,4,2,5,71,35,18,21,11,5,9
45,169463,4063,275,2017-07-24,H,False,R32,3,11433,FRA,,Q,134,413,,,20.741957,,11550,USA,,Q,133.0,417.0,,,19.474333,,7-5 7-6(7),,2,0,13,11,1,0,True,169463,0,107.0,9,6,92,55,39,22,12,7,8,6,8,81,60,45,8,12,5,7
46,162776,3906,17,2015-04-27,C,False,R16,3,4752,FRA,5.0,,28,1330,,,28.856947,185.0,4927,FRA,,Q,137.0,389.0,,,27.912388,203.0,6-2 6-3,,2,0,12,5,0,0,True,162776,0,64.0,0,0,52,31,27,11,9,2,2,1,2,47,33,22,4,8,2,5
