match_id,match_num,date,surface,indoor,round,best_of,winner_id,loser_id,score,outcome,w_sets,l_sets,player_id,first_name,last_name,player_id,first_name,last_name
161988,23,2/02/2015,H,f,QF,3,4311,5564,3-6 6-2 7-6(6),,2,1,4311,Andreas,Seppi,5564,Ricardas,Berankis
161989,24,2/02/2015,H,f,QF,3,4716,4992,6-4 2-6 6-4,,2,1,4716,Marcel,Granollers,4992,Igor,Sijsling
161990,25,2/02/2015,H,f,SF,3,4198,4570,6-4 6-4,,2,0,4198,Guillermo,Garcia Lopez,4570,Marcos,Baghdatis
162003,11,9/02/2015,H,f,R32,3,4459,4593,6-4 6-4,,2,0,4459,Dustin,Brown,4593,Marinko,Matosevic
162004,12,9/02/2015,H,f,R32,3,5025,4229,6-4 6-3,,2,0,5025,Samuel,Groth,4229,Yen Hsun,Lu
162005,13,9/02/2015,H,f,R16,3,5442,5978,3-6 6-3 6-4,,2,1,5442,Kei,Nishikori,5978,Ryan,Harrison
162006,14,9/02/2015,H,f,R16,3,5561,3333,7-6(4) 4-6 6-4,,2,1,5561,Austin,Krajicek,3333,Ivo,Karlovic
162007,15,9/02/2015,H,f,R16,3,4544,4470,6-4 7-6(5),,2,0,4544,John,Isner,4470,Ivan,Dodig
162008,16,9/02/2015,H,f,R16,3,5016,11549,6-4 6-1,,2,0,5016,Sam,Querrey,11549,Jared,Donaldson
162009,17,9/02/2015,H,f,R16,3,5375,6031,7-5 6-3,,2,0,5375,Donald,Young,6031,Denis,Kudla
162010,18,9/02/2015,H,f,R16,3,6057,5231,6-1 7-5,,2,0,6057,Bernard,Tomic,5231,Alexandr,Dolgopolov
162011,19,9/02/2015,H,f,R16,3,5438,4459,4-6 7-5 7-6(3),,2,1,5438,Steve,Johnson,4459,Dustin,Brown
162012,20,9/02/2015,H,f,R16,3,4728,5025,6-3 6-2,,2,0,4728,Kevin,Anderson,5025,Samuel,Groth
162013,21,9/02/2015,H,f,QF,3,5442,5561,4-6 6-3 6-4,,2,1,5442,Kei,Nishikori,5561,Austin,Krajicek
162014,22,9/02/2015,H,f,QF,3,5016,4544,7-6(3) 7-6(2),,2,0,5016,Sam,Querrey,4544,John,Isner
162015,23,9/02/2015,H,f,QF,3,5375,6057,7-6(8) 4-6 7-5,,2,1,5375,Donald,Young,6057,Bernard,Tomic
162016,24,9/02/2015,H,f,QF,3,4728,5438,6-4 6-4,,2,0,4728,Kevin,Anderson,5438,Steve,Johnson
162032,13,9/02/2015,H,f,R32,3,6219,5201,6-4 6-2,,2,0,6219,Dominic,Thiem,5201,Ernests,Gulbis
162033,14,9/02/2015,H,f,R32,3,4659,4716,6-2 7-6(7),,2,0,4659,Sergiy,Stakhovsky,4716,Marcel,Granollers
162034,15,9/02/2015,H,f,R32,3,4619,4585,6-3 6-1,,2,0,4619,Simone,Bolelli,4585,Lukas,Rosol
162035,16,9/02/2015,H,f,R32,3,5670,5709,6-7(5) 6-1 7-5,,2,1,5670,Milos,Raonic,5709,Andrey,Kuznetsov
162036,17,9/02/2015,H,f,R16,3,4913,5565,6-3 7-5,,2,0,4913,Andy,Murray,5565,Vasek,Pospisil
162037,18,9/02/2015,H,f,R16,3,4467,4868,6-4 6-3,,2,0,4467,Gilles,Simon,4868,Jeremy,Chardy
162038,19,9/02/2015,H,f,R16,3,4606,4311,6-0 3-6 6-3,,2,1,4606,Tomas,Berdych,4311,Andreas,Seppi
162039,20,9/02/2015,H,f,R16,3,4789,5131,7-5 7-6(5),,2,0,4789,Gael,Monfils,5131,Roberto,Bautista Agut
162064,14,9/02/2015,C,f,R16,3,5571,4269,6-7(6) 6-3 6-4,,2,1,5571,Dusan,Lajovic,4269,Fernando,Verdasco
162065,15,9/02/2015,C,f,R16,3,4914,5070,6-4 3-6 6-1,,2,1,4914,Leonardo,Mayer,5070,Albert,Ramos
162066,16,9/02/2015,C,f,R16,3,5147,5364,3-6 6-3 6-2,,2,1,5147,Joao,Souza,5364,Martin,Klizan
162067,17,9/02/2015,C,f,R16,3,5046,4122,4-6 7-5 6-3,,2,1,5046,Santiago,Giraldo,4122,Carlos,Berlocq
162087,10,16/02/2015,H,f,R32,3,5375,4470,7-5 7-5,,2,0,5375,Donald,Young,4470,Ivan,Dodig
162089,12,16/02/2015,H,f,R32,3,5231,4558,7-6(4) 6-3,,2,0,5231,Alexandr,Dolgopolov,4558,Teymuraz,Gabashvili
162107,30,16/02/2015,H,f,SF,3,5375,6057,4-6 6-4 6-2,,2,1,5375,Donald,Young,6057,Bernard,Tomic
162108,31,16/02/2015,H,f,F,3,3333,5375,6-3 6-3,,2,0,3333,Ivo,Karlovic,5375,Donald,Young
162109,1,16/02/2015,H,f,R32,3,4619,4562,6-4 7-6(4),,2,0,4619,Simone,Bolelli,4562,Luca,Vanni
162110,2,16/02/2015,H,f,R32,3,5709,4974,3-6 6-4 6-2,,2,1,5709,Andrey,Kuznetsov,4974,Andrey,Golubev
162112,4,16/02/2015,H,f,R32,3,5565,4894,4-6 6-3 6-4,,2,1,5565,Vasek,Pospisil,4894,Robin,Haase
162113,5,16/02/2015,H,f,R32,3,6219,5303,7-6(6) 6-4,,2,0,6219,Dominic,Thiem,5303,Joao,Sousa
162114,6,16/02/2015,H,f,R32,3,5663,5655,6-4 6-2,,2,0,5663,David,Goffin,5655,Jerzy,Janowicz
